id,period,timestamp,minute,second,possession,duration,location,under_pressure,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,player.id,player.name,position.id,position.name,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.one_on_one,shot.aerial_won,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,match_id,competition_id,season_id,shot.open_goal,shot.first_time,shot.redirect,shot.deflected,shot.saved_to_post,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z
cd343b56-0326-4530-a515-935c36d235f8,1,12:47.7,12,47,31,0.4262,"c(112, 40)",NA,16,Shot,746,Manchester City WFC,3,From Free Kick,746,Manchester City WFC,4992,Janine Beckie,17,Right Wing,0.15130956,"c(118, 40.7, 2.1)",9e054609-5c2f-4f3e-b19f-4712a4babbc6,NA,NA,93,Normal,100,Saved,87,Open Play,37,Head,19798,37,4,NA,NA,NA,NA,NA,112,40,118,40.7,2.1
2cb7ca59-a6de-4bb2-bfc3-8c0ccb2880b3,1,15:25.3,15,25,35,0.879647,"c(109, 35)",TRUE,16,Shot,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,10185,Stephanie Houghton,3,Right Center Back,0.013967803,"c(118, 40.9, 1.7)",7599a30d-833c-472d-8ae9-f1169ac097d8,NA,TRUE,93,Normal,100,Saved,87,Open Play,37,Head,19798,37,4,NA,NA,NA,NA,NA,109,35,118,40.9,1.7
df879fb4-c822-4f53-bde5-ee8e4d02bcdb,1,22:56.4,22,56,48,1.356389,"c(102, 25)",NA,16,Shot,967,Everton LFC,1,Regular Play,967,Everton LFC,15579,Inessa Kaagman,20,Left Attacking Midfield,0.01981882,"c(120, 41.5, 3.8)",1b5c9814-b4d9-41aa-91ce-1d5206d6d867,NA,NA,91,Half Volley,98,Off T,87,Open Play,38,Left Foot,19798,37,4,NA,NA,NA,NA,NA,102,25,120,41.5,3.8
f0588b7b-ea45-48be-9277-b5fdbd92a16c,1,24:56.3,24,56,51,2.182418,"c(101, 31)",NA,16,Shot,967,Everton LFC,1,Regular Play,967,Everton LFC,15571,Danielle Turner,16,Left Midfield,0.062145542,"c(120, 58)",880a177b-b039-4a1b-9c38-2cc626a9e955,NA,NA,93,Normal,101,Wayward,87,Open Play,38,Left Foot,19798,37,4,NA,NA,NA,NA,NA,101,31,120,58,NA
03d2d272-226b-43fe-85ef-b99b1d639bc7,1,40:37.4,40,37,85,1.768781,"c(114, 51)",NA,16,Shot,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,15555,Lauren Hemp,23,Center Forward,0.06364714,"c(119, 41.1, 1.3)",761822b7-7159-4467-9972-a1d5a5e60edb,NA,NA,94,Overhead Kick,100,Saved,87,Open Play,38,Left Foot,19798,37,4,NA,TRUE,NA,NA,NA,114,51,119,41.1,1.3
95af1a85-71ef-4770-bf8f-10bfe3bc47cc,1,43:45.6,43,45,94,1.145013,"c(105, 23)",TRUE,16,Shot,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,4658,Keira Walsh,15,Left Center Midfield,0.030819578,"c(120, 46.7, 2.7)",a9eb33cd-bc0d-4c41-b633-47da2731c55b,NA,NA,93,Normal,98,Off T,87,Open Play,40,Right Foot,19798,37,4,NA,NA,NA,NA,NA,105,23,120,46.7,2.7
6497b901-643a-4e90-abfa-66ffab25afd5,1,44:26.5,44,26,95,1.653089,"c(84, 33)",NA,16,Shot,967,Everton LFC,7,From Goal Kick,967,Everton LFC,15556,Chantelle Boye-Hlorkah,23,Center Forward,0.012647647,"c(120, 33.7, 0.2)",31b95766-cda6-459d-bde8-03c6c6460ea0,NA,NA,93,Normal,98,Off T,87,Open Play,40,Right Foot,19798,37,4,NA,NA,NA,NA,NA,84,33,120,33.7,0.2
affb58bd-bd46-49b6-871b-ff32ef117553,1,44:47.5,44,47,97,1.223466,"c(102, 35)",NA,16,Shot,967,Everton LFC,1,Regular Play,967,Everton LFC,15579,Inessa Kaagman,20,Left Attacking Midfield,0.072006255,"c(119, 39.9, 1.8)",4e98ce00-04db-4da0-9bce-cc83f5387cd5,NA,NA,93,Normal,100,Saved,87,Open Play,40,Right Foot,19798,37,4,NA,NA,NA,TRUE,NA,102,35,119,39.9,1.8
90ab896b-08aa-4c82-8d73-07dae143cdde,2,01:17.2,46,17,110,0.408,"c(103, 58)",NA,16,Shot,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,15555,Lauren Hemp,23,Center Forward,0.024877869,"c(111, 55)",b4931428-c8c5-4252-ba9e-4dabab23ac88,NA,NA,93,Normal,96,Blocked,87,Open Play,38,Left Foot,19798,37,4,NA,NA,NA,NA,NA,103,58,111,55,NA
d36a34af-1fbd-4d0d-beb7-57e9a20774ef,2,01:19.6,46,19,110,0.6795,"c(105, 41)",TRUE,16,Shot,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,4658,Keira Walsh,15,Left Center Midfield,0.24816939,"c(119, 36.6, 0.9)",NA,NA,NA,93,Normal,97,Goal,87,Open Play,40,Right Foot,19798,37,4,NA,NA,NA,NA,NA,105,41,119,36.6,0.9
